epoch,loss,lr,val_loss
0,0.13160896692425011,0.001,0.069741018489003187
1,0.10620358702726662,0.001,0.065180719047784802
2,0.099160497728735211,0.001,0.064643884450197225
3,0.10130132690537721,0.001,0.056285395547747613
4,0.097752123884856698,0.001,0.056232469603419301
5,0.097111437050625679,0.001,0.056868422515690326
6,0.094216105062514544,0.001,0.073599898368120198
7,0.093495404813438654,0.001,0.053775228224694729
8,0.093340381979942322,0.001,0.059485732316970824
9,0.091738522727973754,0.001,0.053059245087206365
10,0.092626537475734946,0.001,0.064845393449068076
11,0.092166881449520593,0.001,0.052985618077218535
12,0.089388487534597522,0.001,0.051557183116674427
13,0.089762746286578474,0.001,0.052836682461202142
14,0.086338726221583784,0.001,0.048426484987139702
15,0.08448503636755049,0.001,0.048377030491828919
16,0.082930620759725571,0.001,0.04960282597690821
17,0.082979396032169458,0.001,0.049768529497087002
18,0.080619871034286916,0.001,0.04788094762712717
19,0.083094774419441825,0.001,0.046679772324860098
20,0.082335539325140414,0.001,0.046068408228456974
21,0.081835479359142482,0.001,0.045911886207759378
22,0.080212359549477696,0.001,0.048012868948280808
23,0.079805404064245522,0.001,0.044735726900398731
24,0.079470346588641411,0.001,0.045323943495750425
25,0.078848048113286495,0.001,0.046999334953725339
26,0.08068591395858675,0.001,0.048460839688777922
27,0.079680528258904815,0.001,0.042467745803296569
28,0.078014373988844449,0.001,0.047372703477740287
29,0.078322703693993384,0.001,0.041952316872775557
30,0.080656780907884237,0.001,0.044988101720809935
31,0.079080750653520229,0.001,0.044829893372952935
32,0.077976358984597025,0.001,0.042773460149765012
33,0.078719620406627652,0.001,0.041668716333806512
34,0.078464924544095996,0.001,0.044325128085911276
35,0.079095879918895662,0.001,0.043325832895934585
36,0.076561666652560229,0.001,0.044417065754532817
37,0.075841973256319764,0.001,0.043682114668190476
38,0.076272607548162341,0.001,0.043265713080763817
39,0.078598805353976786,0.001,0.044150383993983272
40,0.075980016356334085,0.001,0.04183131415396929
41,0.078722569416277116,0.001,0.045072194524109363
42,0.079368432122282687,0.001,0.047631060630083086
43,0.0769226273521781,0.001,0.042283995784819124
44,0.078196047316305334,0.001,0.042008936218917367
45,0.075699741300195453,0.001,0.041487872898578644
46,0.07699048328213394,0.001,0.040163049437105657
47,0.078021604451350868,0.001,0.041411388181149957
48,0.076946480548940599,0.001,0.041690677627921106
49,0.077913165022619066,0.001,0.042311766631901261
50,0.075756285851821301,0.001,0.041156154759228229
51,0.074236422032117846,0.001,0.040693356133997438
52,0.076699350005947048,0.001,0.04110945928841829
53,0.072120669553987687,0.001,0.039708948694169521
54,0.075084295216947788,0.001,0.03994531273841858
55,0.0758138555334881,0.001,0.044525407180190088
56,0.078110195812769234,0.001,0.04117358677089214
57,0.076392688695341354,0.001,0.040512511469423772
58,0.077014299365691846,0.001,0.045525161810219289
59,0.075831182231195268,0.001,0.039800830893218515
60,0.076384282205253839,0.001,0.041337997764348981
61,0.073110572970472271,0.001,0.040581605918705466
62,0.076106867054477334,0.001,0.041395537592470645
63,0.077136871311813598,0.001,0.039306087121367454
64,0.072946608276106412,0.001,0.040090792886912821
65,0.076185123738832766,0.001,0.03946212861686945
66,0.074304922972805804,0.001,0.039472603574395179
67,0.073392557329498231,0.001,0.039714858345687387
68,0.074214963638223705,0.001,0.04161874942481518
69,0.073139246948994693,0.001,0.041706324219703675
70,0.074806610820814967,0.001,0.039344732016324997
71,0.074499957752414053,0.001,0.039808275364339354
72,0.07481320109218359,0.001,0.041117131114006042
73,0.077081098943017429,0.001,0.039511609524488449
74,0.074446421209722752,0.001,0.041123197749257087
75,0.074121109675616026,0.0005,0.038544683270156387
76,0.070990712405182427,0.0005,0.038393108397722246
77,0.073470626003108913,0.0005,0.038093566969037054
78,0.072583901486359542,0.0005,0.03827829830348492
79,0.069658822845667601,0.0005,0.038218308612704276
80,0.073542824015021324,0.0005,0.038374223038554194
81,0.072834777971729631,0.0005,0.038321606926620004
82,0.073626680625602597,0.0005,0.038788661211729053
